29569957 | 7788196 | BL
27818575 | 9642856 | GN
14684680 | 8316482 | BN
21133485 | 6802606 | ST
11751494 | 3748041 | PW
807862 | 5444467 | HK
18322380 | 2016528 | NL
19955738 | 73293 | BN
14430930 | 3343165 | HM
7997448 | 2480473 | NR
14265477 | 7602775 | GT
2579641 | 2242294 | GU
4471643 | 313803 | PA
24836191 | 8890502 | CW
6674507 | 7036454 | GA
29720794 | 5794321 | KG
16436122 | 6611189 | MH
11838367 | 7760516 | GI
5369060 | 9567600 | WS
24588365 | 6082111 | BQ
22400777 | 3108855 | AE
26148340 | 5121785 | IS
23591649 | 922232 | GI
24092012 | 8979980 | YE
24915665 | 9734367 | NI
388611 | 2998022 | JO
19292864 | 5677184 | LY
1920153 | 8220204 | OM
844037 | 3727206 | ZM
13957038 | 9463830 | BF
17523064 | 255147 | ID
2646737 | 5270981 | BQ
1048196 | 1650865 | RS
17617189 | 4931143 | GL
481695 | 7664624 | IE
26481140 | 5176792 | LK
24036399 | 3165447 | DZ
28224840 | 3105040 | UM
11121921 | 1171238 | GB
18545651 | 9868199 | SA
12286077 | 319079 | MO
14715911 | 9685538 | HN
13127664 | 6806324 | ZA
12927683 | 9693169 | HU
22114147 | 4193196 | DM
24063113 | 6155122 | MO
1827049 | 2115465 | GU
27715968 | 4019417 | LV
12348761 | 4558766 | GD
28625761 | 9704701 | WF
6247695 | 8841972 | PY
23635246 | 9381831 | MM
19078184 | 509800 | VE
4434432 | 8984931 | PH
6761348 | 6049070 | KZ
24701606 | 7473614 | NE
28306899 | 7367219 | IQ
632507 | 7557200 | HN
15151691 | 8450418 | NU
11511871 | 7841330 | KH
15222672 | 2707450 | HN
9277437 | 6456093 | KN
6234920 | 2297928 | MN
25226695 | 6444718 | BL
13376007 | 3838934 | AU
6350494 | 7733553 | MM
12480812 | 5959782 | CL
3732436 | 8167387 | MV
28929107 | 3671348 | CN
8609195 | 3680618 | BW
9927585 | 6459858 | SY
12465147 | 5527728 | LR
5295356 | 7121935 | MT
3355512 | 7773797 | ZA
19304544 | 3582557 | BS
3546197 | 1638579 | PR
8172340 | 1142652 | GQ
15117074 | 6517711 | TV
5936449 | 3890184 | HK
20969661 | 5826000 | AF
8554146 | 1912470 | GF
20429471 | 2036467 | BN
15668595 | 7358217 | SH
14264271 | 6363158 | MS
14765920 | 1053982 | YT
2417817 | 7885350 | FI
26007756 | 6752712 | BG
27757029 | 6860078 | BI
17748817 | 6674651 | AW
9618771 | 4814614 | TO
17804358 | 5373901 | PM
14230825 | 9961844 | IQ
8816665 | 9452614 | HR
15895280 | 5009045 | JE
8309977 | 6503317 | GA
8458924 | 5951329 | NG
1770944 | 1833529 | CL
22468228 | 3060444 | CW
11716006 | 8067420 | BI
27101274 | 6932186 | TT
